Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
97,Phil Nevin,29,SDP,NL,4.1,143,605,538,87,163,34,1,31,107,2,0,59,121,0.303,0.374,0.543,0.916,136,0.393,134,292,17,4,0,4,9,*5/H,,nevinph01
98,Brad Ausmus,31,DET,AL,3.4,150,604,523,75,139,25,3,7,51,11,5,69,79,0.266,0.357,0.365,0.722,89,0.334,91,191,19,6,4,2,0,*2/H345,,ausmubr01
99,Dean Palmer,31,DET,AL,1.4,145,604,524,73,134,22,2,29,102,4,2,66,146,0.256,0.338,0.471,0.809,108,0.357,107,247,9,4,0,10,2,*53D/H,,palmede01
100,Nomar Garciaparra,26,BOS,AL,7.4,140,599,529,104,197,51,3,21,96,5,2,61,50,0.372,0.434,0.599,1.033,156,0.442,157,317,8,2,0,7,20,*6/HD,ASMVP-9,garcino01
101,Dmitri Young#,26,CIN,NL,1,152,593,548,68,166,37,6,18,88,0,3,36,80,0.303,0.346,0.491,0.837,107,0.362,104,269,16,3,1,5,6,*73H/D9,,youngdm01
102,Peter Bergeron*,22,MON,NL,-1,148,592,518,80,127,25,7,5,31,11,13,58,100,0.245,0.32,0.349,0.669,67,0.311,70,181,4,0,14,2,0,*87/H,,bergepe01
103,Alex Gonzalez,27,TOR,AL,0.7,141,591,527,68,133,31,2,15,69,4,4,43,113,0.252,0.313,0.404,0.717,78,0.335,83,213,14,4,16,1,0,*6,,gonzaal01
104,Juan Encarnación,24,DET,AL,1.9,141,590,547,75,158,25,6,14,72,16,4,29,90,0.289,0.33,0.433,0.764,97,0.352,101,237,15,7,3,4,1,*8,,encarju01
105,Ryan Klesko*,29,SDP,NL,3.2,145,590,494,88,140,33,2,26,92,23,7,91,81,0.283,0.393,0.516,0.909,136,0.397,135,255,10,1,0,4,9,*3H/79,,kleskry01
106,Ron Coomer,33,MIN,AL,-0.1,140,589,544,64,147,29,1,16,82,2,0,36,50,0.27,0.317,0.415,0.733,81,0.333,80,226,25,4,0,5,2,*3/D5H,,coomero01
107,B.J. Surhoff*,35,2TM,2LG,2.8,147,587,539,69,157,36,2,14,68,10,2,41,58,0.291,0.344,0.443,0.787,101,0.36,105,239,10,3,2,2,3,*7H/D,,surhob.01
107,B.J. Surhoff*,35,BAL,AL,2.6,103,444,411,56,120,27,0,13,57,7,2,29,46,0.292,0.341,0.453,0.793,104,0.358,105,186,5,2,1,1,3,7/D,,surhob.01
107,B.J. Surhoff*,35,ATL,NL,0.3,44,143,128,13,37,9,2,1,11,3,0,12,12,0.289,0.352,0.414,0.766,93,0.364,102,53,5,1,1,1,0,7H,,surhob.01
108,Paul Konerko,24,CHW,AL,1.4,143,586,524,84,156,31,1,21,97,1,0,47,72,0.298,0.363,0.481,0.844,111,0.372,108,252,22,10,0,5,0,*3H/5D,,konerpa01
109,Mike Lowell,26,FLA,NL,2.2,140,583,508,73,137,38,0,22,91,4,0,54,75,0.27,0.344,0.474,0.818,110,0.356,104,241,4,9,0,11,4,*5/H,,lowelmi01
110,Mark Kotsay*,24,FLA,NL,2.4,152,578,530,87,158,31,5,12,57,19,9,42,46,0.298,0.347,0.443,0.791,104,0.357,107,235,17,0,2,4,2,*9H/83,,kotsama01
111,Mark McLemore#,35,SEA,AL,1.3,138,578,481,72,118,23,1,3,46,30,14,81,78,0.245,0.353,0.316,0.669,77,0.32,82,152,12,1,11,4,2,*47/H8,,mclemma01
112,Pokey Reese,27,CIN,NL,1.9,135,577,518,76,132,20,6,12,46,29,3,45,86,0.255,0.319,0.386,0.705,76,0.326,70,200,8,6,3,5,5,*4/H,GG,reesepo01
113,Adrian Beltré,21,LAD,NL,3.4,138,575,510,71,148,30,2,20,85,12,5,56,80,0.29,0.36,0.475,0.835,114,0.37,115,242,13,2,3,4,2,*5/6H,,beltrad01
114,Royce Clayton,30,TEX,AL,-0.4,148,573,513,70,124,21,5,14,54,11,7,42,92,0.242,0.301,0.384,0.685,72,0.313,70,197,21,3,12,3,1,*6,,claytro01
115,Rich Aurilia,28,SFG,NL,2.4,141,571,509,67,138,24,2,20,79,1,2,54,90,0.271,0.339,0.444,0.783,102,0.345,100,226,15,0,4,4,2,*6/H,,aurilri01
116,Eric Chávez*,22,OAK,AL,2.4,153,569,501,89,139,23,4,26,86,2,2,62,94,0.277,0.355,0.495,0.85,117,0.366,111,248,9,1,0,5,8,*5H/6D,,chaveer01
117,Chris Singleton*,27,CHW,AL,1.2,147,566,511,83,130,22,5,11,62,22,7,35,85,0.254,0.301,0.382,0.683,71,0.314,66,195,6,1,12,4,2,*87/HD,,singlch01
118,Geoff Jenkins*,25,MIL,NL,4.5,135,564,512,100,155,36,4,34,94,11,1,33,135,0.303,0.36,0.588,0.948,137,0.407,136,301,9,15,0,4,6,*7/H,,jenkige01
